Sl No,Name,Review,Suggestion/Complaint,flair_sentiment
3155,Rahul Yadav,"
Really nice


Really good for beginners
",1,1
3156,Aaditya thakran,"
Nyc selection


Not bad in this price range
",1,1
3157,Rajat,"
Best


Best for beginners
",1,1
3158,Michael Khomdram,"
Two Stars


There is no iron rod
",0,0
3159,Joginder Pal Narula,"
Beautiful


Good product
",1,1
3160,Amazon Customer,"
One Star


Very bad quality .....
",0,0
3162,M,"
Product is good  delivery is bad


Product is gooddelivery is bad
",0,0
3163,chittranjan kumar,"
nice


I am very very happy.good quality,nice for beginner
",1,1
3164,S P.,"
Good


Nice product for learners
",1,1
3165,abhay Mishra,"
Budget guitar


Cgjkhgfgii
",1,1
3166,Amazon Customer,"
Nice and affordable.


The guitar is very good.
",1,1
3167,AMANDEEP SINGH,"
overall exellent


ok
",1,1
3168,Jay Hidad,"
LOVE


Guys This is best guitar ever.........do not see bad reviews....
",1,1
3169,Mansi,"
One Star


Your executive was not co-operative, he was not polite
",0,0
3170,Rahul,"
Not good


Not good
",0,0
3171,PARVESH,"
Go for it ...stylish one ..


Good one for beginners ..
",1,1
3172,Maheshkumar gujarat,"
Average ok for beginners...


AVerage ... strings not so good...SOUnd average..
",1,0
3173,Harshit Mishra,"
Average


Strings get untuned very easily.. Guitar doesn't has perfect finish.
",1,0
3174,Ravi Sachdeva,"
buy it if its going to be your first guitar..


length is short but overall a good sounding guitar @ 1990/-....
",1,1
3175,Sreeraj Menon,"
Five Stars


Nice
",1,1
3176,Amazon Customer,"
Five Stars


one part of string is missing so buy it carefully
",1,0
3177,Josef wrenthlei,"
Satisfied


It is important for learning my lesson
",1,1
3178,Sourav Mahanta,"
For very young beginners only


For very young beginners only
",1,0
3179,Philip,"
Best for beginners ....


Nice guitar to handle....worth for miney, average quality,best for beginners....
",1,1
3180,Mandar,"
Amezing


Nic product. Amezing for begineers.
",1,1
3181,Tanveer,"
Good for learner


Good for new learners
",1,1
3182,Shalini,"
Five Stars


Super
",1,1
3183,Sourav Nayak,"
Wonderful


Good quality and value for money.
",1,1
3184,Amazon Customer,"
Very nice but wire is loosely


Very much like this
",1,1
3185,Diksha,"
love the Guitar


good product for beginners
",1,1
3186,Ritik dave,"
nice guitar under 2000


best guitar under 2000
",1,1
3187,Anup xaxa,"
Nice to learn for the beginners


It is nice for the beginners and quality is not so high .
",1,1
3188,Swapnadip gaikawad,"
Time to diliwar


Good jobs 😊
",1,1
3189,Jiju,"
Four Stars


Good product for the price.
",1,1
3190,Jiju,"
Four Stars


Good product for the price.
",1,1
3191,Bhika Baviskar,"
Good quality


Sound is very good and product also..
",1,1
3192,Pritam Thakur,"
Nice guitar


Sound is good but body is light weight
",1,0
3193,shirsha gon,"
Damaged


Worst. I received a btoken piece
",0,0
3194,Ashfak Abbas Ali,"
Very nice guitar


Best acoustic guitar for beginners
",1,1
3195,ayushi,"
It's the worst guitar ever seen.


Don't go for this.
",0,0
3196,M j,"
Awesome this price range


Not bad value for money
",1,1
3197,Amit,"
Five Stars


I love it.
",1,1
3198,Amazon Customer,"
For beginners


Pocket friendly
",1,1
3199,PALLAVI SHARMA,"
Not so good


Not a good product
",0,0
3200,Ambika yadav,"
I love it


It's to good
",1,1
3201,krantik,"
Outlook is good ..... But sound is not


It's not sounds properly ......if u r bigger than it's fine but the sound is really bad
",1,0
3202,Heerendra singh,"
Quality


Very poor product never to be a choice for even beginners
",1,0
3203,Shruti,"
Didn't receive pick and extra strings


The guitar is okay for the price but i didn't receive pick and strings
",1,0
3204,krishan sharma,"
Five Stars


Best in this price , sound is best , best for beginners.. don't worry to buy it
",1,1
3205,Manish s.,"
Best quality


Very nice product thanks for amajon.....
",1,1
3206,RIJO RAJAN,"
Five Stars


awesome
",1,1
3207,suraj,"
Good product


Sounds good, good fir beginners
",1,1
3208,Xavier kainikkat11,"
My complained


I got the item on 26th Jan and I like it but the cover is not suitable for this 🎸
",0,0
3209,Anoop s,"
Gud one


Liked it.
",1,1
3210,POKAL ABHISHEK,"
Good


Good
",1,1
3211,Gaurav,"
Cool


Its very cool and I also thought before buying that it can come broken or accessories missing
",1,1
3212,RAHUL,"
Not worth


Poor quality
",0,0
3213,Vivek,"
Shorter


Is this some kind of a joke, look what I found inside!!!Coming to the product, smaller than expected.
",0,0
3214,Amazon Customer,"
Loved it.


Nice product i loved it and i think this is a best choice for beginner's
",1,1
3215,SoHeL Debbarma,"
Great


Decent Product
",1,1
3216,Kajal,"
Very bad product


Very bad product
",0,0
3217,Anubhav Sharma,"
Nice one


Nice product and sound quality is also good
",1,1
3218,Piyush soni,"
Worth Buy..


Nice affordable product  for beginners.Produce Gud quality sound.
",1,1
3219,sumit kumar,"
Not even for beginners it has no. Truss rod


Cheap quality ...
",1,0
3220,brij lal mahato,"
Good


Good
",1,1
3221,Amazon Customer,"
Awesome


Simply awesome
",1,1
3222,Amazon Customer,"
Three Stars


Strings gets loose everytime I tried to play...E string is not even tuned properly.
",1,0
3223,Avinash w,"
Go for it!


Perfect for beginners
",1,1
3224,yugandhar bandireddy,"
Worst


Worst
",0,0
3225,Nikhil Barve,"
Good


Its good and I luv to play the guitar 🎸
",1,1
3226,Devang kushwah,"
It is good to see but it's reality comes out in playing ...


It is good to see but it's reality comes out in playing it. It's sound quality is not good
",1,0
3227,AB_ Rocks,"
Beginner's Choice


Awsm... Really great purchase....
",1,1
3228,dr Mukesh Sharma,"
Best


Best in this price range
",1,1
3229,Jolan fernandes,"
Good


Its really good for beginners.
",1,1
3230,Raj s.,"
Good product at this cost


Awesome one for beginners
",1,1
3231,Shreyash,"
Loved it


Loved it
",1,1
3232,Amazon Customer,"
nothing great, but yes definitely worth the


Product is ok , standar size is 40 and this one is 38, nothing great , but yes definitely worth the price
",1,1
3233,vaibhav,"
One Star


Damaged product
",0,0
3234,Akash R,"
Nice


I received 1 day late but fine
",1,1
3235,Naman,"
First class


Superb
",1,1
3236,Kabita Chatterjee,"
Good


Nice product
",1,1
3237,Anushka,"
Best Guitar


It is very good guitar in this range I just love it
",1,1
3238,Mrs vibha,"
Reasonable prize


Love the music
",1,1
3239,Shraddha Pande,"
Nice


Nice
",1,1
3240,Neil,"
Unexpected ly high action


The action is too high ...
",0,0
3241,Kakali pal,"
Nice


Nice
",1,1
3242,ANURAM MUDHIRAJ,"
Ok


Ok
",1,1
3243,Jagdish,"
Defective piece


Guitar is damaged
",1,0
3244,Amazon Customer,"
One Star


Delivery was too Bad.But product is too good!
",1,0
3245,Naman Mangal,"
Broken


It's broken when I got it.
",0,0
3246,Abhishake,"
damage product


worst product n packing
",0,0
3247,Karthik,"
Great product for beginners for this price


I got this guitar for 1999rs. I am a beginner and this guitar suits my purpose perfectly. And also great service from Amazon.
",1,1
3248,Amazon Customer,"
owsm


very nice guitar
",1,1
3249,mahesh,"
Very good product


In completely happy with the product and it's performance. Being a new user I am really happy with the product.
",1,1
3250,Pankaj,"
Nice


Nice
",1,1
3251,Gaurav kumar,"
Totally satisfied


Very good and satisfying product but delivery was very poor takes 5 days
",1,0
3252,khushboo jha,"
Guitar


Good
",1,1
3253,Kindle Customer,"
Good


Good
",1,1
3254,Amazon Customer,"
For Beginners Only


its best for beginners
",1,0
3255,ROHIT SHARMA,"
Buy it Thanku Amazon 😍😍


It's really cool
",1,1
3256,Hemanth spark,"
Just Awesome


For this rate it is amazing.....I loved it😘😍
",1,1
3257,haresh maheshwari,"
Three Stars


average quality
",1,0
3258,Gautam dawar,"
Three Stars


its good for beginners though
",1,0
3259,Adie dienu,"
My guitar


I like this guitar sound and quality
",1,1
3260,Satyaraj Mishra,"
Amazing 😍 guitar


It's just amazing but little bit small size..
",1,1
3261,Puneet Shukla,"
plzzzz dont buy plzzz try another guitar dont buy this


I got damaged guitar plz don't buy thisIt is my humble request........ PlzzzzVery bad product
",0,0
3262,Sunil singh,"
Damadge


This  is  damaged
",0,0
3263,Nitesh kumar,"
Excellent product. I just loved it..


Excellent product. I just loved it.
",1,1
3264,vaishali k.,"
Nice


Nice
",1,1
3265,Jairanjan koram,"
Nice ....


Nice guitar...
",1,1
3266,Venkatesh N V,"
Awesome design 😘


Superb guitar 😘luv it❤️
",1,1
3267,Saikrishna0427,"
Worst guitar don't buy it


It is not working
",0,0
3268,Adyy,"
It was amazing.. bass is very good & color also


It was amazing.. bass is very good & color also, overall i like so much this guitar... Thank u!
",1,1
3269,Amazon Customer,"
Four Stars


Good product and affordableBut the strings are weak...
",1,1
3270,lilibila sangtam,"
Ok ok


Not worth it. Very small in size
",1,0
3271,Pravesh,"
Creep product. Bad quality


item is broken. totally disappointed never expected from amazon.
",0,0
3272,Khemchand wadhai,"
Best


I really like this guitar
",1,1
3273,Ravi Singh,"
Not upto the mark.. Please do not buy this if you are beginner.


Product is quite ok but not upto the mark and have a tunning problem specially for last string.
",0,0
3274,prateek vijay,"
awesome product


very good specially  for lead guitarist
",1,1
3275,JB,"
Superb


Best value for beginners
",1,1
3276,Prisilla,"
Very disappointed


I got damaged product 😑 plz don't buy
",0,0
3277,Amit Sharma,"
Thanks Amazon


Nice product for beginners.
",1,1
3278,Amazon Customer,"
Four Stars


Very comfortable to carry
",1,1
3279,Harimohan sharma,"
Nice guitar


Nice product for begeners
",1,1
3280,sriram,"
valid for money and beginners


It was simply an nice guitar.It gives nice sound when we play it. It is value for money and for beginners
",1,1
3281,Ravi,"
Guitar


Good product but not strong
",1,0
3282,Aswin S.R,"
Best for beginners


Good guitar for beginners
",1,1
3283,Aadhila basheer,"
👍👍👍😍


Good product
",1,1
3284,Anand,"
Looks very beautiful guitar 🥰🥰


Best guitar for the beginner i am very happy 🤩🤩🤩
",1,1
3285,Vinoth kumar,"
Very bad product


It's worst  productGood for  nothing
",1,0
3286,Vivek Gora,"
Good


Nice
",1,1
3287,Akhil SS,"
Four Stars


Good product, Excellent wrapping for a safe delivery by the agents, Great tones and sound
",1,1
3288,sonu rajak,"
Juarez acoustic is good quality


I like
",1,1
3289,Nikhil,"
Good product for this price range


Fantastic job
",1,1
3290,hari prasad,"
good


I have received with safety and good condition very nice for beginners
",1,1
3291,VIDESHWARI,"
Good for money


According to the price is good valuable working well till now.
",1,0
3292,Sanjib G.,"
Good


I like it
",1,1
3293,Rajesh,"
Good one


Good one
",1,1
3294,Suril,"
It’s good for beginners


Not bad
",1,0
3295,Amazon Customer,"
Decent


Decent guitar for the price but absence of truss rod is problematic.
",1,0
3296,twinkle,"
Guitar's expirence


product is good but my guitar's side will be little bit broken piece of woods allaround guitar is nice
",1,1
3297,Beema Rasheed,"
not good


not good
",0,0
3298,Hiral Borad,"
It's nice for beginners


😊
",1,0
3299,Amazon Customer,"
Economical


Good for learning
",1,1
3300,Dhanush R.,"
Lucky if you don't buy


Manufacture error everywhere....Worst one
",0,0
3301,Lilly,"
Poor quality


It cannot be tune worst guitar ever
",0,0
3302,Sourav Ralph,"
Guitar


Good at this price but not too good
",1,0
3303,akash rawat,"
bad


worst Quality
",0,0
3304,Gajanan Patil Akola Natraj Chouk old city,"
Four Stars


Great guitar nice
",1,1
3305,pratik,"
Amazing


Amazing
",1,1
3306,Amazon Customer,"
Awesome


Great product
",1,1
3307,Papai,"
Not Bad


Good, bt Finniahing isn't too good.
",1,0
3308,Virat,"
Good


Good
",1,1
3309,Sid,"
Four Stars


Best for the price
",1,1
3310,HIMANSHU RANJAN,"
action is high. need much force to press string ...


action is high.need much force to press string.
",0,0
3311,Amit,"
Good


Good
",1,1
3312,vipulsingh,"
super sound and quality


Superb
",1,1
3313,Spark,"
Go for it.. I love it.


Nice guitar i like it very much
",1,1
3314,binoy,"
Worst


It's a toy Don't waste ur money
",0,0
3315,Sana khadri,"
Sounds good


Sounds good
",1,1
3316,Nitin Kumar,"
Best budget


Best guitar for beginners and tight budget
",1,1
3317,Aarif Ahmad,"
Genuine feedback


Built quality not good
",0,0
3318,Kunal,"
Five Stars


Amazing Quality of Guitar. Sound is very good & clear. Go for it !!!
",1,1
3319,Ankit Soni,"
As expected


Good
",1,1
3320,Harshal,"
value of money


value of money
",1,1
3321,Kundhavi,"
Not comfortable


I feel this guitar is when I strum it is wibrating
",0,0
3322,raju gupta,"
Nice


Nice one
",1,1
3323,Dylan Pinto,"
Four Stars


Received product in good condition sound is good for the price not what is expected but ok
",1,1
3324,Ankur,"
Worthless Guiter


Hey guys please don't buy this guitar. Sound quality is too poor & string also not working well
",0,0
3325,RUPINDER KAUR,"
Four Stars


Great product
",1,1
3326,Kundan K.,"
cool


very niceee
",1,1
3327,dixita mendpara,"
awesome product


good product
",1,1
3328,APARNA PARAB,"
Good product


It is awesome specially for beginners
",1,1
3329,Arun Phase,"
Great fr beginners. Comfortable.


A nice gig to gift ur little brother.
",1,1
3330,Borisagar Maulik,"
Sound is good


Good Products
",1,1
3331,Mahesh mohare,"
Nice


Nice
",1,1
3332,Mansi Choudhary,"
Accessories missing


Strings, straps and pick was not delivered
",1,0
3333,Gopal,"
Good for beginners


Worth for price. Good for beginners...
",1,1
3334,Sourav,"
Five Stars


My first guitar and I loved it.
",1,1
3335,AJIT S M,"
Best product


Best colour best sound
",1,1
3336,Amazon Customer,"
Only showpiece


It is not guitar it was only a show piece.
",1,0
3337,Shaurya,"
Nice


Nice product
",1,1
3338,RAVINDRA,"
wonderfull guitar for beginners


guitar is good for beginners, it sounds well but the guitar bag is not so good
",1,0
3339,Abhiman Nayak,"
Superrbb


♥️
",1,1
3340,SreelakshMi,"
Best product for beginners in an affordable rate❤️.


The guitar bought is simply awesome. 😍
",1,1
3341,Maruti Chavan,"
Easy to handle


Good
",1,1
3342,Danish,"
Five Stars


It's seriously a great one n worth buying for beginners
",1,1
3343,Subhajit Karmakar,"
Best for beginners


Little smallBad finishingNice sound quality
",1,1
3344,Anjali Choudhary,"
Highly recommend


Nice product
",1,1
3345,Nisha,"
Strongly recomend


Very good sound
",0,1
3346,nitish j.,"
No straps no picks!


No straps no picks!
",0,0
3347,Sajeena Thajudeen,"
Five Stars


Good product for this price
",1,1
3348,Matti V.,"
Ok for beginners


Ok guitar for learning.
",1,1
3349,SAHIL P.,"
Buy it for practice


Good qualtity ,must have for beginners
",1,1
3350,Amazon Customer,"
Gr8


Gr8 product..
",1,1
3351,Divya Singh,"
Nice


Loved it
",1,1
3353,Aarav k.,"
Poor quality


The quality is poor
",0,0
3354,jyoti,"
Pick was not there


Pick was not there
",0,0
3355,anup verma,"
Good


Good guitar good for beginers
",1,1
3356,Rawat,"
Beginners


Sound is just ohk ....basically good for beginners...
",1,0
3357,Dharapadaliya,"
Love this


It's too good and nice sound quality
",1,1
3358,Vicky,"
Excellent


Good
",1,1
3359,Patidar,"
Ok


Good
",1,1
3360,Angmo,"
nice!


nice but way of present is not good
",1,0
3361,krishnadas,"
Tight strings


Good quality one. But tight strings
",1,1
3362,Ranabir Saha,"
Very good product


Very good product
",1,1
3363,Amit Chaudhary,"
Nice


Nice
",1,1
3364,Naveen Kumar,"
One Star


poor quality strings
",1,0
3365,Dr SHYAM S PAUL,"
No damage and fine product received


Sound is littbit odd
",0,1
3366,Pranav U.,"
Damaged


Damaged 😭
",0,0
3367,GNANA p.,"
better for beginners


Good
",1,1
3368,Harshvardhan,"
It will be good for beginners


Everything was fine with the product,Packing was not so good..
",1,0
3369,Amazon Customer,"
Four Stars


nice
",1,1
3370,Vidhi kaneria,"
🙂


for beginners its a good choice 🙂
",1,1
3371,Hashir,"
Very affordable


Best guitar ever in this price range
",1,1
3372,rayachur sumanth,"
Very bad


Very bad. Could not get the refund
",0,0
3373,Nishant Verma,"
Awesome product


Really good product. Was not expecting this hight level of quality.
",1,1
3374,Certified buyer,"
🤘


👍
",1,0
3375,Vishal M.,"
Best for beginners


A very good guitar at this price...best for beginners.
",1,1
3376,Mohit joshi,"
Decent quality


Please add more strings
",1,1
3377,B. D Ahirwar,"
Nice


Good guitar in less price
",1,1
3378,Naveen kumar v,"
Four Stars


Good for bigenners...extra strings and guitar picks r missing....not in bag....
",1,1
3379,Ravi suryavanshi,"
Too good


Very good product at this price
",1,1
3380,mary tabitha,"
Five Stars


Packing was very good. Just the same as shown in the pic. Loving it. Thanks amazon
",1,1
3381,Umamahesh Rao,"
Beginners guitar


Okay for beginners
",1,0
3382,Kunavpalgoyal,"
Quality


Strings are not that good one string broke during first tuning
",0,0
3383,Amazon Customer,"
Five Stars


impressive, more than expected
",1,1
3384,V.Kumari,"
Best of mid range.


Best for the beginners.
",1,1
3385,ghanshyam,"
Average


Strings are not fitted property.
",1,0
3386,Jigar Parmar,"
GOOD QUALITY BEGINNER GUITAR


Awsome Product Must Buy
",1,1
3387,Sadia,"
Five Stars


Very good product ..if u are looking for guitars online then u must buy this one.
",1,1
3388,Atul,"
Product quality


Best in this range
",1,1
3389,Gaurav,"
Bad


Broken product
",0,0
3390,Sabarish Murari,"
Bad product


Not at all good for beginners.
",0,0
3391,Nisha,"
Five Stars


Awesome
",1,1
3392,VARUN NAIR,"
Guitar


Ok
",1,1
3393,abhishek mishra,"
Nice product but only beginners


Nice product 😍
",1,1
3394,PANDEY m,"
Total


Okky
",1,0
3395,Gopika,"
👌


👌
",1,0
3396,Shaik mujeeb,"
Don't but it


Quality sucks
",0,0
3397,Gaurav Manjrekar,"
One Star


It was dublicate please dont buy it if you are looking for a one time long buy
",0,0
3398,stephen,"
Sounds good man!


Good for beginners
",1,1
3399,Manju Bhargavi R. P,"
Beginners tool


Good Instrument for a beginner!
",1,1
3400,Juli Bora,"
Looking cool


That's good
",1,1
3401,Nishchay Zinzore,"
Four Stars


Best under ₹2000
",1,1
3402,Amazon Customer,"
Best in class


Value for money, good quality u cannot get better product than this in such affordable price
",1,1
3403,Tony,"
Awesome


Nice guitar...very good for beginners .
",1,1
3405,Kartik mandhare,"
Very good


Good
",1,1
3406,Jaydip bhoi,"
Good


Good
",1,1
3407,Anurag Kushwaha,"
Five Stars


Amazing for the price I bought it. Loved it. Best guitar in budget. :)
",1,1
3408,ketul v valand,"
Nice


Good sound quality
",1,1
3409,Anjana Joshi,"
Best


Good for beginner,nice , affordable price
",1,1
3410,Amazon Customer gautm,"
Four Stars


Nice product... Buy it u r not wasting ut money
",1,1
3411,Irfan k.,"
i take two


awesome for beginners i m hapy
",1,0
3412,geolin george,"
Nice product


Delivered in good condition
",1,1
3413,aditya,"
Good one


Good one for beginners in low price.. Value for money
",1,1
3414,Aman,"
Five Stars


Awesome guitar good one for beginners :)
",1,1
3415,Ankita soni,"
Good


Good
",1,1
3416,Hop and Shop,"
An excellent buy


Awesome guitar at dirt cheap price. Go for it if u r a budget novice user..
",1,1
3417,Sange D.,"
Sounds not good


Worst quality.. sound is not good and the strings gets automatically loosened.
",1,0
3418,Krunal,"
Guitar for beginners


Excellent guitar for beginners...!
",1,1
3419,sagar,"
Buy it


Good
",1,1
3420,Raj Kishor Jha,"
Good guitar


Good
",1,1
3421,Dr Nirmala Castellino,"
Four Stars


Excellent guitar for beginners and definitely value for money.
",1,1
3422,abhijeet lokhande,"
One Star


don purchase this guitar waste of money ....and quality of this guitar is not good ...
",1,0
3423,Anindra Bhattacharjee,"
Good product


Amazing looking....and nice strings......almost a good product.....
",1,1
3424,Rajan khanvilkar,"
Best guitar


It has excellent sound
",1,1
3425,Saraswati Sharma,"
Good product


Excellent product
",1,1
3426,SANOOP,"
Five Stars


Nice product.Good quality.Thank you Amazon.
",1,1
3427,Yashraj,"
Bad strings


Guitar is good but the strings are very bad......broke string in just 1 day
",0,0
3428,Kamal B.,"
very good for beginners


vgood for beginners
",1,1
3429,Himanshu,"
Three Stars


Good product....but not for adult
",1,0
3430,Anshul,"
Good


Good quality at price
",1,1
3431,Space pirate,"
Looks good for a beginner but some faults are there


Gap between the fret board and strings have too much distance
",1,0
3432,Amazon Customer,"
Great product. Trust ful thank you


Good product. Nice sound.. Really good one from Kerala
",1,1
3433,K.Lalrammawia,"
What is the Quality?


Normal qualityGood for beginner
",1,0
3434,Ekta singh,"
Awsm guitar


Nice but it is very tough to tune it even my one string broke
",1,0
3435,Naveen,"
Average


It's Cracked on head....
",1,0
3436,Neel halder,"
It's gd


Best for beginners
",1,0
3437,Amazon Customer,"
Five Stars


Super*****
",1,1
3438,Kuldeep,"
No review for this awesome product


Really a fantastic product....
",1,1
3439,Arpit,"
Supr


Nic
",1,0
3440,Joyleen Lobo,"
Good


Good as expected
",1,1
3441,Aditya Agrawal,"
Bad one


Very bad guitar and it is damaged also
",1,0
3442,Shivali,"
Awsum packed


Super product. Recived safely. Best packaging.
",1,1
3443,Amazon Customer,"
Low price high product !


Very much like this guitar, nice one.
",1,1
3444,Justin G Momin,"
Five Stars


Very nice guitar for beginners.
",1,1
3445,Preeti S.,"
Very good for beginners


Very good for beginners
",1,1
3446,sujit,"
Transparency


Size is not compatible and return policy is very bad, not cleared.
",0,0
3447,Shubham Gupta,"
Five Stars


thanks for this lovely product
",1,1
3448,Mary,"
Good buy


Awesome product, pocket friendly...worth buying
",1,1
3449,Sreesha,"
:)


Loved it
",1,1
3450,Amazon Customer,"
Good for kids !


Cannot be used professionaly only as campfire guitarist...
",1,1
3451,Amazon Customer,"
Pathetic


Don't buy you'll regret it.
",1,0
3452,Amresh k.,"
Five Stars


le lo yaar rockstar ban jaoge
",1,1
3453,vicky,"
Not satisfied


I dnt feel that this S not that worth
",0,0
3454,Drakshay,"
So bad


So bad
",1,0
3455,anish diwan,"
Disappointed


Defective product delivered
",0,0
3456,Sonu Kumar,"
Awesome product.


Gr8 quality easy to play must buy for the beginners.
",1,1
3457,Abubakr Siddiq,"
Purchase it bruhh


Best so far
",1,1
3458,Amazon Customer,"
Five Stars


THE ITEM WAS IN GOOD CONDITION , REALLY AWESOME
",1,1
3459,prashant,"
Quality is gud


Sound is good
",1,1
3460,K******,"
Ok type


Sound is not that good.
",1,0
3461,venkat,"
Five Stars


Low price got good Guitar
",1,1
3462,Parth,"
Best beginner Guitar


Bought it = love it
",1,1
3463,Suresh,"
Five Stars


Nice guitar
",1,1
3464,Roshan Nagdeve,"
Sound


Sound quality not good
",0,0
3466,Johnson,"
Awesome


Good quality
",1,1
3467,piyush,"
Amazing guitar


Its fantastico
",1,1
3468,Amazon Customer,"
Four Stars


it is a good product with right pricing
",1,1
3469,PRATYUSH YADAV,"
Excellent


Nice product and service
",1,1
3470,Op,"
This product is amazing


Wow!
",1,1
3471,Ankith,"
Good


Very good 🎸 for new learner's
",1,1
3472,Vaibhav dabhi,"
Four Stars


Excellent came earlier then expected
",1,1
3473,JB,"
Totally worth


It’s been an year, the product still works like a charm.
",1,1
3474,Sudhir Sharma,"
Five Stars


Excellent product
",1,1
3475,Amazon Customer,"
Broken


Very worst
",0,0
3476,Shaikh Azroddin,"
Average


For begineer is perfect not for proffesionals
",1,0
3477,Pratibindya Pl,"
o


very Nice
",1,1
3478,Amazon Customer,"
Nice


Nice
",1,1
3479,Sanjeev kumar,"
Nice


Good for beginners
",1,1
3480,Chinmay,"
Two Stars


Not value for money...
",1,0
3481,Amazon Customer,"
Four Stars


Sound quality is good
",1,1
3482,Aneez,"
Awesome


Lovely one
",1,1
3483,Amazon Customer,"
Nice


Worth for money
",1,1
3484,ASHOK MEENA,"
Best


Very good To it price
",1,1
3485,Argor,"
Four Stars


Average
",1,0
3486,Jayant,"
Over all good


Should maintain properly in ,one of the string is rusted.
",1,0
3487,Srinivas,"
Good product.


Good product. Delivered on time.
",1,1
3488,Akhil Reddy D,"
Good


Tuning was not good. It's good for the price I got it for
",1,0
3489,Hanson,"
Great product


God packing and god quality nice I am happy
",1,1
3490,Sandeep,"
Good product


Good 👍
",1,1
3491,pravallika,"
😄


Loved it ...😁
",1,1
3492,C Benadic,"
good


good
",1,1
3493,Swapnil,"
Guitar


It is so wonderful
",1,1
3494,Sumant,"
Average


Didn’t get the picks with guitar
",0,0
3495,suman das,"
Great 👍


Great 👍
",1,1
3496,Harish,"
Safe delivery and best guitar for beginners


I like the way of packing
",1,1
3497,Ajesh,"
Good at it's price range


Quality is average.. good for learning..
",1,0
3498,Bhushan,"
Four Stars


Value for money.. go with it
",1,1
0,Soumalya Goswami,"
Absolutely Fantabulas



  First things first!!!!! The no-1 TV Stick in Indian Market...This 3rd Generation Fire TV stick has a superb build quality. The remote has a premium look & feels great in hand. The set-up with TV is just seamless. For normal size TV the HDMI extension cord is not required. If you require, it is inside the box, so not to worry :-)Now coming to the streaming quality. It is wow wow wow.. Dolby Sound quality gives a surround feeling & is great (I have tried this with my Sony 5.1 sound system though). You need to install the apps you want watch, like Hotstar, Zee5, Voot, Disney+, Hoichoi etc etc. etc. The Overall experience with these apps  are really cool. The newly introduced Live section seamlessly connect to LIVE channels via the installed apps.In the Verdict I will suggest if you want to convert your TV in a full house of entertainment & cool features, then you go blindly for this. Its the ultimate TV stick for you.

",1,1
1,Tarun,"
Bad customer service



  These amazon ppl are waste. My detailed product review was deleted, and no explanation is being given even when I repeatedly asked. I bought this fire stick 3 times.I have been a loyal amazon customer since a long time, did not expect this kind of degraded level of customer care.

",0,0
2,Aman verma,"
Dolbyatmos sound quality & Premium quality Remote



  The all new amazon fire tv stick is amazing. Great build quality,remote feels premium.stream quality is excellent. Alexa voice recognitions works well too. I really liked the new dolby atmos sound quality.

",1,1
3,sai vikranth,"
Loved it






                    The media could not be loaded.
                




   My first tv stick, seamless setup, wifi Bluetooth are working superb, quality and Speed is awesome with ACT connection. Loved it, made my non smart tv to smart tv

",1,1
4,kushal kumar,"
NOT supporting to SONY TV'S



  I am useing Sony bx32 modal tv(2012) it have 2 HDMI Port . But fire tv stick is not supporting to my tv, not working properly & getting display issues. so don't buy for Sony TV's

",0,0
5,Sanjay T.,"
Does NOT work and Amazon cannot fix it



  This is the 4th time I have ordered the firestick.It simply does not work.gets stuck on updating the stick and NOTHING happens.Very disappointing that Amazon support team is not able to offer any solution except asking me to return it that I have done 4 times already.

",0,0
6,Ishpreet Singh,"
Working good but disappointed with price drop



  Everything is great but i bought it for 3999/- and after 2 days price was 3199/- which hurts me alot 800/- rs loss. Being a prime customer i am very unhappy with the massive price drop.

",0,0
7,S Sathya Kumar,"
Very Worst, total money waste.



  The Fire TV Stick is not connecting to wifi automatically when powered on.Everytime I've to power off the fire TV stick and then restart it.@amazon this product is useless...Very worst.

",0,0
8,Sudharsan A,"
Worst remote ever... Replacement of remote is too costly



  Product works well upto 1year... Then u need to buy new one only... No choice because.... I bought this product for Rs. 2799 in offer after a year my remote stopped working, if you put new battery it will dry in 3 days itself.. so I want to buy new remote....  New remote only cost Rs. 2000... It's a cheating .... Other brand like mi gives cheaper remote...

",0,0
9,Priyank Agrawal,"
Not compatible with my Sony LED TV



  There is no customer support or details available on which TVs it is not compatible with. And guess what it is not returnable as well, got my 4000 bucks wasted. I bought this after watching so many positive reviews but feel so sad now about this

",0,0
10,Pradeep handa,"
Best streaming device in this price 2500






                    The media could not be loaded.
                




   The system ui interface  totally changed,Grey Icon(missing icon) on side loaded apps""See All"" tab MissingUpdate didn't fix anything...I thought I've got a defective product tried replacingBut Amazon didn't respondI've used my friend's fire stick and I know his firestick doesn't have these issues almost used it for a month and didn't face any problem hence I proceeded to buy one for myself but I'm disappointed got a defective product or the softwareMore disappointing thing is I can't even Replace it wow.

",0,0
11,Jayant Kawale,"
The product is not working



  The product is not working properly. At the moment there is no sound and the screen goes suddenly blank from time to time

",0,0
